resource,M1,M2,case,raw_fidelity_to_predicted_frame,recovered_fidelity_to_input,recovered_code_population,recovered_purity,recovered_coherence_real,recovered_coherence_imag,raw_pred_ci95_low,raw_pred_ci95_high,recovered_ci95_low,recovered_ci95_high,raw_linear_min_eigenvalue,raw_projection_frobenius_shift,raw_fidelity_to_predicted_frame_before_projection,raw_fidelity_to_predicted_frame_after_projection,raw_projection_delta_fidelity,recovered_linear_min_eigenvalue,recovered_projection_frobenius_shift,recovered_fidelity_to_input_before_projection,recovered_fidelity_to_input_after_projection,recovered_projection_delta_fidelity,recovered_coherence_real_before_projection,recovered_coherence_imag_before_projection,recovered_coherence_abs_before_projection,recovered_coherence_real_after_projection,recovered_coherence_imag_after_projection,recovered_coherence_abs_after_projection,recovered_projection_complex_coherence_shift_abs,point_estimate_projection_active,projection_algorithm
canonical,0,0,"(0,0)",0.8925,0.9013,0.9304,0.8321,0.2584,-0.299,0.8834,0.9026,0.8909,0.9099,0.0134466059102297,3.925791717086805e-16,0.8925002554592595,0.8925002554592596,1.1102230246251563e-16,0.0128778597787101,4.601078107339027e-16,0.901289643903968,0.901289643903968,-1.1102230246251563e-16,0.2584228515625,-0.2989501953125,0.3951627379790202,0.2584228515624999,-0.2989501953124999,0.3951627379790201,1.5700924586837752e-16,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
canonical,0,0,"(1,0)",0.8879,0.88,0.9099,0.8001,0.2656,-0.2859,0.8779,0.896,0.8706,0.8892,0.0007710161818241,8.850541493972901e-16,0.8878526648884679,0.8878526648884673,-6.661338147750939e-16,0.017339216341883,1.7485381250777223e-16,0.8800138357393033,0.8800138357393031,-1.1102230246251563e-16,0.265625,-0.285888671875,0.3902421982967134,0.265625,-0.2858886718749999,0.3902421982967134,5.551115123125783e-17,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
canonical,0,0,"(0,1)",0.8631,0.8667,0.9033,0.7796,0.2552,-0.2795,0.8544,0.8743,0.8567,0.876,0.0234709611850227,3.6994071208549927e-16,0.863134190493587,0.863134190493587,0.0,0.0225356777967202,2.610059949691089e-16,0.8667294590474415,0.8667294590474415,0.0,0.2552490234375,-0.279541015625,0.3785435818798859,0.2552490234375001,-0.279541015625,0.378543581879886,1.1102230246251563e-16,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
canonical,0,0,"(1,1)",0.8884,0.8959,0.9229,0.8301,0.2637,-0.2909,0.8785,0.8981,0.8868,0.9051,0.0170688701793398,9.951143851059782e-16,0.8884445005697228,0.8884445005697219,-8.881784197001252e-16,0.0108744931829827,4.690546055820143e-16,0.895908686815251,0.8959086868152516,5.551115123125784e-16,0.263671875,-0.2908935546875,0.3926091158197236,0.2636718750000001,-0.2908935546875001,0.3926091158197238,2.0014830212433602e-16,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
noncanonical,0,1,"(0,0)",0.9175,0.921,0.9475,0.8671,0.2671,-0.3081,0.9076,0.9265,0.9117,0.9294,0.0072570405658469,4.393989845906364e-16,0.9174882080612252,0.9174882080612252,-2.220446049250313e-16,0.0146185989306162,3.473748567885407e-16,0.921040501480442,0.921040501480442,0.0,0.26708984375,-0.30810546875,0.4077572372233957,0.26708984375,-0.3081054687500001,0.4077572372233958,1.1102230246251563e-16,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
noncanonical,0,1,"(1,0)",0.9011,0.898,0.9294,0.8267,0.261,-0.2981,0.8916,0.9105,0.888,0.9085,0.0122760544362783,3.403596423709665e-16,0.9010875780245498,0.90108757802455,3.3306690738754696e-16,0.0193321285421977,2.999366487471157e-16,0.8979938265870131,0.8979938265870131,0.0,0.260986328125,-0.298095703125,0.3962005952667894,0.260986328125,-0.298095703125,0.3962005952667894,5.551115123125783e-17,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
noncanonical,0,1,"(0,1)",0.8945,0.9015,0.9412,0.8356,0.2673,-0.2887,0.8846,0.9041,0.8932,0.9108,0.0217695513759526,3.8624193767480653e-16,0.8944856339293937,0.8944856339293935,-2.220446049250313e-16,0.0109901606035196,1.6652215953816343e-16,0.901498775113402,0.901498775113402,-1.1102230246251563e-16,0.267333984375,-0.2886962890625,0.3934628400754908,0.267333984375,-0.2886962890624999,0.3934628400754907,1.1102230246251563e-16,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
noncanonical,0,1,"(1,1)",0.9257,0.9238,0.9592,0.875,0.2727,-0.301,0.9167,0.9353,0.915,0.9319,0.0112569547172678,4.1251702830000405e-16,0.9256605139696652,0.9256605139696656,3.3306690738754696e-16,0.0092131447236705,2.313115288656233e-16,0.9237720821344464,0.9237720821344464,1.1102230246251563e-16,0.272705078125,-0.301025390625,0.4061826503386083,0.272705078125,-0.3010253906250001,0.4061826503386085,1.2412670766236366e-16,False,Frobenius-nearest PSD trace-one eigenvalue-simplex projection
