dataset,resource,x,m,mode,linear_min_eig,linear_max_eig,projection_frobenius,projected_min_eig,linear_trace_real,fidelity_linear,fidelity_projected,delta_fidelity,coherence_linear_real,coherence_linear_imag,coherence_linear_abs,coherence_projected_real,coherence_projected_imag,coherence_projected_abs,delta_coherence_abs,delta_coherence_complex_abs,logical_input
state,noncanonical,1.0,0.0,raw,0.012276054436278369,0.9102658826541457,3.4035964237096655e-16,0.012276054436278367,1.0,0.9010875780245498,0.9010875780245501,3.3306690738754696e-16,-0.2625732421875,-0.30224609375,0.4003715882776765,-0.2625732421875001,-0.30224609375000006,0.4003715882776766,1.1102230246251565e-16,1.2412670766236366e-16,
state,noncanonical,1.0,0.0,recovered,0.01933212854219779,0.9074309465736048,2.999366487471157e-16,0.019332128542197756,1.0,0.8979938265870131,0.8979938265870131,0.0,0.260986328125,-0.298095703125,0.39620059526678947,0.260986328125,-0.29809570312500006,0.39620059526678947,0.0,5.551115123125783e-17,
state,noncanonical,0.0,1.0,raw,0.02176955137595263,0.9078601071331737,3.862419376748065e-16,0.021769551375952562,1.0,0.8944856339293937,0.8944856339293935,-2.220446049250313e-16,0.0048828125,0.0040283203125,0.00633002546995321,0.0048828125000000226,0.004028320312500016,0.0063300254699532365,2.688821387764051e-17,2.7428386473255476e-17,
state,noncanonical,0.0,1.0,recovered,0.010990160603519648,0.912428106193135,1.6652215953816345e-16,0.010990160603519624,1.0,0.901498775113402,0.9014987751134019,-1.1102230246251565e-16,0.267333984375,-0.2886962890625,0.39346284007549087,0.267333984375,-0.2886962890624999,0.39346284007549076,-1.1102230246251565e-16,1.1102230246251565e-16,
state,noncanonical,1.0,1.0,raw,0.01125695471726785,0.937524844842934,4.1251702830000405e-16,0.011256954717267797,0.9999999999999999,0.9256605139696652,0.9256605139696655,3.3306690738754696e-16,-0.2750244140625,0.2978515625,0.40540594669308055,-0.2750244140625001,0.2978515625000001,0.40540594669308067,1.1102230246251565e-16,1.5700924586837752e-16,
state,noncanonical,1.0,1.0,recovered,0.009213144723670548,0.9344820431776664,2.313115288656233e-16,0.009213144723670597,0.9999999999999999,0.9237720821344463,0.9237720821344464,1.1102230246251565e-16,0.272705078125,-0.301025390625,0.40618265033860834,0.27270507812500006,-0.3010253906250001,0.4061826503386085,1.6653345369377348e-16,1.2412670766236366e-16,
process_probe,canonical,,,,0.011356418363781989,0.9041069070179477,3.422103438005051e-16,0.01135641836378202,1.0,0.9015706380208333,0.9015706380208329,-3.3306690738754696e-16,0.004638671875,0.003662109375,0.005910018768022561,0.004638671874999998,0.0036621093749999983,0.005910018768022558,-2.6020852139652106e-18,2.4532694666933987e-18,zero
process_probe,canonical,,,,0.021407512023805413,0.8687243950287531,4.2505872735654464e-16,0.02140751202380543,1.0,0.868408203125,0.8684082031249999,-1.1102230246251565e-16,0.0042724609375,0.013916015625,0.014557108687431977,0.004272460937500001,0.013916015625,0.014557108687431977,0.0,8.673617379884035e-19,one
process_probe,canonical,,,,0.016432179584156464,0.873060905010695,9.223553024764856e-16,0.016432179584156537,1.0,0.8592529296874998,0.8592529296874991,-6.661338147750939e-16,0.40576171875,0.09619140625,0.417007624677663,0.40576171874999967,0.09619140624999992,0.41700762467766267,-3.3306690738754696e-16,3.433175098891678e-16,plus
process_probe,canonical,,,,0.012604677087483977,0.8793284080868575,3.839666749088822e-16,0.012604677087484136,1.0,0.8686523437499998,0.8686523437499996,-2.220446049250313e-16,0.09033203125,-0.416748046875,0.42642562123291583,0.09033203124999996,-0.4167480468749998,0.42642562123291555,-2.7755575615628914e-16,2.2591401799415137e-16,plus_i
process_probe,noncanonical,,,,0.005728114740484648,0.9455993711487266,4.501653965930075e-16,0.005728114740484649,1.0,0.9438069661458334,0.9438069661458338,4.440892098500626e-16,0.0003662109375,-0.003662109375,0.003680374372969076,0.00036621093750000016,-0.0036621093750000043,0.0036803743729690802,4.336808689942018e-18,4.339856937279166e-18,zero
process_probe,noncanonical,,,,0.0045745135229224776,0.9374475618451846,6.035793954483025e-16,0.004574513522922474,1.0,0.9366861979166666,0.9366861979166672,5.551115123125783e-16,-0.0042724609375,-0.0001220703125,0.0042742044433622065,-0.004272460937500002,-0.00012207031250000092,0.004274204443362208,1.734723475976807e-18,1.964321818484476e-18,one
process_probe,noncanonical,,,,0.01344660035255786,0.931678897477713,3.0069521923706965e-16,0.013446600352557809,0.9999999999999999,0.9219970703124999,0.9219970703124999,0.0,0.447998046875,0.08984375,0.45691809924523363,0.44799804687499994,0.08984374999999994,0.4569180992452336,-5.551115123125783e-17,7.850462293418876e-17,plus
process_probe,noncanonical,,,,0.011505346515321077,0.9393032739618404,4.061828255347323e-16,0.011505346515321074,1.0,0.9294433593749998,0.9294433593749996,-2.220446049250313e-16,0.085205078125,-0.4486083984375,0.4566282957580992,0.08520507812499997,-0.4486083984374998,0.456628295758099,-2.220446049250313e-16,2.237726045655905e-16,plus_i
