resource,logical_input,sample,min_eig,projection_frobenius
canonical,zero,23,0.009787117729828125,3.373023878828239e-16
canonical,one,23,0.02202810752163414,7.142262601340307e-16
canonical,plus,23,0.017765219810703073,3.3223974079183215e-16
canonical,plus_i,23,0.012112720044231307,2.5115046618985923e-16
canonical,zero,24,0.01051122314414606,5.571228117580841e-16
canonical,one,24,0.015151004520534585,2.914174095565852e-16
canonical,plus,24,0.010467110697021238,3.7932202708579384e-16
canonical,plus_i,24,0.022474924551220698,2.935213026995373e-16
canonical,zero,25,0.007715357929345877,3.415240285239263e-16
canonical,one,25,0.02032040420926487,6.343249947676397e-16
canonical,plus,25,0.011421959162571762,5.179887787248532e-16
canonical,plus_i,25,0.009856667713422688,2.3699424479668846e-16
canonical,zero,26,0.005632727439810725,3.4084240119808787e-16
canonical,one,26,0.018596566016889974,4.3243063518381247e-16
canonical,plus,26,0.009489315977101448,5.615828168427813e-16
canonical,plus_i,26,0.00028887480150565866,3.600397574604539e-16
canonical,zero,27,0.010652580525057386,3.357594553494942e-16
canonical,one,27,0.018159832802577637,1.0501118261971442e-15
canonical,plus,27,0.013073923577312793,7.641275388726742e-16
canonical,plus_i,27,0.011995641718569833,6.841464505351972e-16
canonical,zero,28,0.00966201698474941,2.3579959082064286e-16
canonical,one,28,0.02162352007977184,6.466695523414089e-16
canonical,plus,28,0.011851197613384257,6.52652678219966e-16
canonical,plus_i,28,0.020003055083668366,3.3503440062114266e-16
canonical,zero,29,0.006753788114876027,5.641670564930532e-16
canonical,one,29,0.015258705801491225,6.023288316170673e-16
canonical,plus,29,0.012579606329812129,2.664311633018183e-16
canonical,plus_i,29,0.015955357401792845,6.806414342727739e-16
canonical,zero,30,0.010249291745677765,3.3954871857302384e-16
canonical,one,30,0.020594739947800603,3.2198924454066737e-16
canonical,plus,30,0.021091749248211868,2.517109318105528e-16
canonical,plus_i,30,0.006213912734951525,3.186447866302317e-16
canonical,zero,31,0.0021198218482477832,1.5285981832169035e-16
canonical,one,31,0.018617863618192176,8.237508110818061e-16
canonical,plus,31,0.006422441655750872,4.547093759668061e-16
canonical,plus_i,31,0.015734601446047644,2.0005619045761297e-16
canonical,zero,32,0.006050666367264779,8.949295021002294e-16
canonical,one,32,0.021261212987569122,3.2286987304601824e-16
canonical,plus,32,0.019055742314442233,5.754554576749506e-16
canonical,plus_i,32,0.01758629844673192,8.041114622984487e-16
canonical,zero,33,0.005924545167749253,1.6754344241908193e-16
canonical,one,33,0.01931762734469285,8.11680525271366e-16
canonical,plus,33,0.018734863668337907,6.601817379500986e-16
canonical,plus_i,33,0.01267286589185129,1.189101578484527e-15
canonical,zero,34,0.007430686623876954,3.521090736894573e-16
canonical,one,34,0.018909457491055173,1.2025298863495139e-15
canonical,plus,34,0.0064957195955359075,2.296994315138551e-16
canonical,plus_i,34,0.010231439779078677,2.6646310426879006e-16
canonical,zero,35,0.010857028309928698,2.3710487684711673e-16
canonical,one,35,0.020931386862784524,1.40268470755659e-15
