resource,x,m,mode,sample,min_eig,projection_frobenius
canonical,0,0,raw,28,0.01222830535502246,2.735807969572224e-16
canonical,0,0,recovered,28,0.01072857658596347,4.0402115689181624e-16
canonical,0,0,raw,29,0.013809973596351116,3.5953007205896683e-16
canonical,0,0,recovered,29,0.002983327036570518,7.710928819482061e-16
canonical,0,0,raw,30,0.015740184249985422,8.754224056845489e-16
canonical,0,0,recovered,30,0.013159404444298015,3.429539787682191e-16
canonical,0,0,raw,31,0.013596703190205032,5.106820116950599e-16
canonical,0,0,recovered,31,0.008988835533314213,3.1398554815795586e-16
canonical,0,0,raw,32,0.005267574648800286,3.7608071315219357e-16
canonical,0,0,recovered,32,0.005885701864218925,5.76450464289615e-16
canonical,0,0,raw,33,0.017177238679020296,3.9958088306909847e-16
canonical,0,0,recovered,33,0.00814957291606437,5.068751720147551e-16
canonical,0,0,raw,34,0.012179035422445436,1.7667479433180885e-16
canonical,0,0,recovered,34,0.01196805064530314,3.8037854574199206e-16
canonical,0,0,raw,35,0.012984391551760373,1.1442273392954116e-16
canonical,0,0,recovered,35,0.009336082717041966,4.736137613430531e-16
canonical,0,0,raw,36,0.00511108409785503,5.130839670183483e-16
canonical,0,0,recovered,36,0.004996308545275756,8.495683697166283e-16
canonical,0,0,raw,37,0.016049327405419277,4.927654861582669e-16
canonical,0,0,recovered,37,0.013291135520965818,3.989694289927939e-16
canonical,0,0,raw,38,0.009730388833193007,1.2182632199180084e-15
canonical,0,0,recovered,38,0.004835673755987069,2.6892760147569656e-16
canonical,0,0,raw,39,0.018881514626705707,4.2137949480350855e-16
canonical,0,0,recovered,39,0.011180470124153716,1.02325459388116e-15
canonical,0,0,raw,40,0.01659015591578952,4.0336602750565195e-16
canonical,0,0,recovered,40,0.013160626869710222,4.417877871820211e-16
canonical,0,0,raw,41,0.010495803000598025,1.765683072721734e-16
canonical,0,0,recovered,41,0.010531465041628505,2.0806769066099365e-16
canonical,0,0,raw,42,0.01492941424303158,1.8164712973159883e-16
canonical,0,0,recovered,42,0.008448723900748016,2.5939518283568054e-16
canonical,0,0,raw,43,0.007004117778171249,3.3154966252855e-16
